,,,,,,,
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
AL JAZEERA,VENICE TOP,LZ,PIAZZA SAN MARCO,461944-T,1.00KG,800,$ 219
AL JAZEERA,MAGIC,LZ,HOUDINI,503629,1.00KG,700,$ 191
AL TEEB,LORA DAR,LZ,LO YS,693067,1.00KG,750,$ 205
AL TEEB,JULIET DAR,LZ,LIET YS,261067,1.00KG,700,$ 191
AL TEEB,WARDE-DAR,LZ,PASSION YS,339927,1.00KG,450,$ 123
ALEXANDRE . J,MANDARINE SULTANE,LZ,ALHAMBRA GARDEN,343622-A,1.00KG,390,$ 107
ALEXANDRE . J,MANDARINE SULTANE NO,LZ,ALHAMBRA GARDEN,343622,1.00KG,500,$ 137
ALEXANDRE . J,MORNING MUSCS,LZ,FRESH DEWDROP,461305-B,1.00KG,330,$ 90
ALEXANDRE . J,THE COLLECTOR BLACK,,THE COLLECTOR BLACK,3000031,1.00KG,275,$ 75
ALEXANDRE . J,THE COLLECTOR ZAFEER OUD,,THE COLLECTOR ZAFEER OUD,3000032,1.00KG,275,$ 75
ALEXANDRE. J,ROSE OUD,,ROSE OUD,3000033,1.00KG,275,$ 75
ALEXANDRE.J,ALTESSE,LZ,SAVOY OF INDIA,461250-B,1.00KG,390,$ 107
AMOUAGE,ENCLAVE,,ENCLAVE,250416,1.00KG,1500,$ 409
AMOUAGE,LINE 618 ESSENCE DE PARFUME,,LINE 618 ESSENCE DE PARFUME,250408,1.00KG,850,$ 232
AMOUAGE,SINDABAD,,SINDABAD,250401,1.00KG,1100,$ 383
AMOUAGE,SEQUENCE,,SEQUENCE,250402,1.00KG,1500,$ 409
AMOUAGE,OPUS XVI TIMBER,,OPUS XVI TIMBER,250257,1.00KG,850,$ 232
AMOUAGE,RECEPTION,,RECEPTION,250225,1.00KG,1600,$ 437
AMOUAGE,LOVE TUBEROSE,,LOVE TUBEROSE,250183,1.00KG,1100,$ 301
AMOUAGE,DECISION,,DECISION,250161,1.00KG,1200,$ 327
AMOUAGE,EXISTENCE,,EXISTENCE,250162,1.00KG,1900,$ 519
AMOUAGE,SEARCH,,SEARCH,250036,1.00KG,1500,$ 409
AMOUAGE,DIA 40 WOMEN,,DIA 40 WOMEN,240965,1.00KG,1000,$ 273
AMOUAGE,VANILLA BARAKA,,VANILLA BARAKA,240901,1.00KG,2000,$ 546
AMOUAGE,OUD ULYA,,OUD ULYA,240900,1.00KG,2000,$ 546
AMOUAGE,PURPOSE 50,,PURPOSE 50,240818,1.00KG,1300,$ 355
AMOUAGE,PURPOSE  TOP,,PURPOSE  TOP,240804,1.00KG,2000,$ 546
AMOUAGE,OUTLANDS,,OUTLANDS,240730,1.00KG,1100,$ 301
AMOUAGE,GUIDANCE 46,,GUIDANCE 46,240643,1.00KG,1500,$ 409
AMOUAGE,JUBILITION 40 MAN,,JUBILITION 40 MAN,240488,1.00KG,850,$ 232
AMOUAGE,LILAC LOVE,,LILAC LOVE,240431,1.00KG,1000,$ 273
AMOUAGE,REFLACTION 45,,REFLACTION 45,240618,1.00KG,1600,$ 437
AMOUAGE,REFLACTION MEN,,REFLACTION MEN,240242,1.00KG,700,$ 191
AMOUAGE,OPUS XIV ROYAL TOBACCO,,OPUS XIV ROYAL TOBACCO,240209,1.00KG,1080,$ 295
AMOUAGE,LOVE DELIGHT,,LOVE DELIGHT,240203,1.00KG,900,$245
AMOUAGE,AMOUAGE EPIC MAN TOP,,AMOUAGE EPIC MAN TOP,240438,1.00KG,750,$ 205
AMOUAGE,"AMOUAGE, LYRIC MAN",LZ,TOUCHING POETRY,231633-B,1.00KG,330,$ 90
AMOUAGE,"AMOUAGE, OPUS V",LZ,MASTERPIECE,231662-B,1.00KG,330,$ 90
AMOUAGE,"AMOUAGE,JOURNEY
WOMAN",LZ,GOLDEN TRIP,701761-B,1.00KG,330,$ 90
AMOUAGE,BLOSSOM LOVE WOMAN TOP,,BLOSSOM LOVE WOMAN TOP,240432,1.00KG,1000,$ 273
AMOUAGE,HONOUR MAN,LZ,KINGSIZE,461236-A,1.00KG,440,$ 120
AMOUAGE,INTERLUDE 53 TOP,,INTERLUDE 53 TOP,240803,1.00KG,700,$ 191
AMOUAGE,INTERLUDE WOMAN,LZ,MIDNIGHT BLUE LADY,701741,1.00KG,660,$ 180
AMOUAGE,INTERUDE MAN,LZ,MIDNIGHT BLUE MAN,340894-A,1.00KG,440,$ 120
AMOUAGE,INTERLUDE TOP,,INTERLUDE TOP,240802,1.00KG,660,$ 180
AMOUAGE,OPUS VI,LZ,ARABIAN POETRY,342271-A,1.00KG,550,$ 150
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
AMOUAGE,OVERTURE MAN,LZ,GENTLEMANS MYSTIQUE,233742,1.00KG,470,$ 128
AMOUAGE,PORTRAYAL MAN,LZ,HOLOGRAPHIC MAN,233724,1.00KG,530,$ 145
AMOUAGE,PORTRAYAL WOMAN,LZ,HOLOGRAPHIC WOMAN,503654,1.00KG,390,$ 107
AMOUAGE,ROSE INCENSE,LZ,OMANI MAVERICK,339688,1.00KG,520,$ 142
AMOUAGE,SILVER  MEN,LZ,TITANIUM,230792,1.00KG,550,$ 150
AMOUAGE,IMITATION WOMAN,LZ,SWEET ART,339447,1.00KG,660,$ 180
AMOUAGE,HONOUR WOMAN,LZ,NOBILITY,232459,1.00KG,550,$ 150
AMOUAGE,GUIDANCE TOP,,GUIDANCE TOP,204567,1.00KG,1800,$ 491
AMOUAGE,GUIDANCE,,GUIDANCE,240043,1.00KG,1195,$ 327
AMOUAGE,"AMOUAGE,INTERLUDE  MEN",,"AMOUAGE,INTERLUDE  MEN",3000034,1.00KG,330,$ 90
AMOUAGE,"BRACKEN EAU DE PERFUME
MAN",,"BRACKEN EAU DE PERFUME
MAN",3000035,1.00KG,330,$ 90
AMOUAGE,IMITATION FOR WOMAN,,IMITATION FOR WOMAN,3000036,1.00KG,330,$ 90
AMOUAGE,MEMOIR  MEN,,MEMOIR  MEN,3000037,1.00KG,330,$ 90
AMOUAGE,OPUS III,,OPUS III,3000038,1.00KG,330,$ 90
AMOUAGE,OPUS VII,,OPUS VII,3000039,1.00KG,330,$ 90
AMOUAGE,SUNSHINE MEN,,SUNSHINE MEN,3000040,1.00KG,330,$ 90
AMOUAGE,SUNSHINE WOMEN,,SUNSHINE WOMEN,3000041,1.00KG,330,$ 90
AMOUAGE,INTERLUDE BLACK IRIS,,INTERLUDE BLACK IRIS,3000042,1.00KG,825,$ 225
AMOUAGE,SILVER OUD,,SILVER OUD,3000043,1.00KG,330,$ 90
ANFASIC DOKHOON,SHAY SHAY,,SHAY SHAY,240860,1.00KG,550,$ 150
ANFASIC DOKHOON,SUKAR,LZ,SWEET ELEGANCE,260816-A,1.00KG,450,$ 123
ANFASIC DOKHOON,JANUARY,,JANUARY,3000044,1.00KG,330,$ 90
ANFASIC DOKHOON,SHAY,,SHAY,240172,1.00KG,550,$ 150
ANFASIC DOKHOON,SUKAR,,SUKAR,3000045,1.00KG,330,$ 90
ANFASIC DOKHOON,WOW,,WOW,3000046,1.00KG,330,$ 90
ANGEL SHLESSER,ANGEL SCHLESSER FEMME,LZ,RANWAY FASHION,346712-B,1.00KG,275,$ 75
ANNA SUI,FANTASIA,LZ,LAND OF DREAMS,343635,1.00KG,390,$ 107
ANNA SUI,FLIGHT OF FANCY SPIRIT,LZ,CHICHI SOUL,343730,1.00KG,410,$ 112
ANNA SUI,LUCKY WISH,LZ,JACKPOT,342748,1.00KG,330,$ 90
ANTONIO,BLUE SEDUCTION MEN,LZ,ZORRO,238552,1.00KG,550,$ 150
ANTONIO,SEDUCTION IN BLACK,LZ,SEDUCTIVE MAN,359969,1.00KG,330,$ 90
ANTONIO,SEDUCTION IN BLACK,LZ,SEDUCTIVE MAN,359969-A,1.00KG,260,$ 71
ANTONIO,THE SECRET,LZ,KEYHOLE,239297,1.00KG,330,$ 90
ANTONIO,THE SECRET TEMPTATION,LZ,ALLURE WHISPERS,353738,1.00KG,550,$ 150
ANTONIO,THE ICON,LZ,HOMBRE ATTRACTIVO,354007,1.00KG,390,$ 107
ANTONIO,BLUE SEDUCTION FOR MEN,LZ,BLUZORRO,461995-A,1.00KG,500,$ 137
ANTONIO BANDERAS,BLUE SEDUCTION TOP(BLUE COLOUR),,BLUE SEDUCTION,240124,1.00KG,700,$ 191
ANTONIO BANDERAS,BLUE SEDUCTION (BLUE COLOUR),,BLUE SEDUCTION,240125,1.00KG,390,$ 107
AQUOLINA,PINK SUGAR,LZ,SWEET RIBBON,339416,1.00KG,275,$ 75
ARABIAN OUD,SULTANI,,SULTANI,250482,1.00KG,700,$ 191
ARABIAN OUD,SULTANI AMBERWOOD,,SULTANI AMBERWOOD,250272,1.00KG,700,$ 191
ARABIAN OUD,KASHMIR MUSK,,KASHMIR MUSK,240578,1.00KG,850,$ 232
ARABIAN OUD,AL FAREED,,AL FAREED,240308,1.00KG,700,$ 191
