,,,,,,,
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
CREED,ROYAL MAYFAIR 2015,,ROYAL MAYFAIR 2015,240921,1.00KG,1300,$ 355
CREED,FRAGARIA,,FRAGARIA,240823,1.00KG,1000,$ 273
CREED,ROYAL WATER,,ROYAL WATER,240815,1.00KG,850,$ 232
CREED,ORGINAL SANTAL,,ORGINAL SANTAL,240740,1.00KG,1100,$ 301
CREED,CENTAURUS SUPER,,CENTAURUS SUPER,240567,1.00KG,1300,$ 355
CREED,CENTAURUS TOP,,CENTAURUS,240556,1.00KG,2000,$ 546
CREED,DELPHINUS TOP,,DELPHINUS TOP,240566,1.00KG,1100,$ 301
CREED,SPRING FLOWERS,,SPRING FLOWERS,240262,1.00KG,600,$ 164
CREED,SPICE & WOOD,,SPICE & WOOD,240441,1.00KG,1000,$ 273
CREED,AVENTUS COLONGE TOP,,AVENTUS COLONGE TOP,240418,1.00KG,1300,$ 355
CREED,LOVE IN WHITE,,LOVE IN WHITE,240274,1.00KG,550,$ 150
CREED,QUEEN OF SILK TOP,,QUEEN OF SILK TOP,240187,1.00KG,1450,$ 395
CREED,QUEEN OF SILK,,QUEEN OF SILK,240188,1.00KG,950,$ 260
CREED,ORGINAL VETIVER 2024,,ORGINAL VETIVER 2024,250056,1.00KG,1100,$ 301
CREED,ORGINAL VETIVER,,ORGINAL VETIVER,240218,1.00KG,900,$ 245
CREED,VIRGIN ISLAND WATER,,VIRGIN ISLAND WATER,240213,1.00KG,1000,$ 273
CREED,CREED AVENTUS TOP TOP,,CREED AVENTUS TOP TOP,240825,1.00KG,1900,$ 519
CREED,CREED AVENTUS TOP,LZ,SPIRIT OF ADVENTURE,239790-T,1.00KG,1350,$ 369
CREED,CREED AVENTUS TOP,,CREED AVENTUS TOP,240033,1.00KG,1495,$ 408
CREED,CREED AVENTUS,LZ,SPIRIT OF ADVENTURE,239790,1.00KG,650,$ 178
CREED,CREED AVENTUS,LZ,SPIRIT OF ADVENTURE,239790-C,1.00KG,400,$ 109
CREED,CREED AVENTUS,,CREED AVENTUS,240008,1.00KG,350,$ 96
CREED,CREED AVENTUS,,EVENTO,240020,1.00KG,250,$ 68
CREED,ABSOLU AVENTUS TOP,,ABSOLU AVENTUS TOP,240022,1.00KG,1400,$ 382
CREED,ABSOLU AVENTUS,,ABSOLU AVENTUS,240024,1.00KG,730,$ 200
CREED,AVENTUS FOR HER,LZ,GOLDEN ARC,232942,1.00KG,880,$ 240
CREED,AVENTUS FOR HER,LZ,GOLDEN ARC,232942-A,1.00KG,650,$ 178
CREED,"SILVER MOUNTAIN WATER
TOP",,"SILVER MOUNTAIN WATER
TOP",240330,1.00KG,750,$ 205
CREED,SILVER MOUNTAIN WATER,LZ,SPARKLING SPRING,234738-A,1.00KG,330,$ 90
CREED,GREEN IRISH TWEED,,GREEN IRISH TWEED,240180,1.00KG,450,$ 123
CREED,VIKING TOP,,VIKING TOP,240641,1.00KG,1300,$ 355
CREED,VIKING COLOGNE MEN TOP,,VIKING COLOGNE MEN TOP,240631,1.00KG,1700,$ 464
CREED,WIND FLOWERS TOP,,WIND FLOWERS TOP,240329,1.00KG,600,$ 164
CREED,CREED AVENTUS COLONGE,LZ,FRESH SPIRIT,503661,1.00KG,1100,$ 301
CREED,SUBLIM VANILLE,LZ,VANILLA TOUCH,501997,1.00KG,600,$ 164
CREED,HIMALAYA,LZ,MOUNT EVEREST,233928-A,1.00KG,450,$ 123
CREED,CARMINA TOP,,CARMINA TOP,240373,1.00KG,1100,$ 301
CREED,CARMINA,,CARMINA,240036,1.00KG,350,$96
CREED,CREED BLACK,,CREED BLACK,3000185,1.00KG,275,$ 75
CREED,CREED SILVER,,CREED SILVER,3000186,1.00KG,275,$ 75
CREED,PURE  WHITE COLOGNE,,PURE  WHITE COLOGNE,3000187,1.00KG,390,$ 107
CREED,ROYAL OUD,,ROYAL OUD,240224,1.00KG,1700,$ 464
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
CREED,WHITE AMBER,,WHITE AMBER,250173,1.00KG,850,$ 232
CREED,CREED AVENTUS 10TH ANNIVERSARY TOP,,CREED AVENTUS 10TH ANNIVERSARY TOP,240398,1.00KG,1500,$ 409
CREED,MILLESIME IMPERIAL,,MILLESIME IMPERIAL,3000741,1.00KG,950,$260
CREED,MILLESIME IMPERIAL TOP,,MILLESIME IMPERIAL,240123,1.00KG,1300,$355
DIFFUSER OIL,LUXURY FINAL,,LUXURY FINAL,250377,1.00KG,275,$75
DIFFUSER OIL,MALEQUI,,MALEQUI,250378,1.00KG,295,$80
DIFFUSER OIL,TUSCANY VIBE,,TUSCANY VIBE,250379,1.00KG,295,$80
DIFFUSER OIL,SUELLEN,,SUELLEN,250380,1.00KG,275,$75
DIFFUSER OIL,ADDRESS FINAL,,ADDRESS FINAL,250381,1.00KG,275,$75
DIFFUSER OIL,MIDNIGHT FINAL,,MIDNIGHT FINAL,250382,1.00KG,275,$75
DIFFUSER OIL,EXOTIC FRUITS,,EXOTIC FRUITS,250383,1.00KG,200,$55
DIFFUSER OIL,SUEDE VANILLA,,SUEDE VANILLA,250384,1.00KG,295,$80
DIFFUSER OIL,LABAN,,LABAN,250385,1.00KG,200,$55
DIFFUSER OIL,POWDER,,POWDER,250386,1.00KG,200,$55
DIFFUSER OIL,WILDBERYY,,WILDBERYY,250387,1.00KG,200,$55
DIFFUSER OIL,MANGO,,MANGO,250388,1.00KG,200,$55
DIFFUSER OIL,MANGO 2,,MANGO 2,250389,1.00KG,185,$50
DIFFUSER OIL,ADRESS,,ADRESS,250228,1.00KG,275,$75
DIFFUSER OIL,ASES,,ASES,250229,1.00KG,255,$70
DIFFUSER OIL,DAMASK ROSE,,DAMASK ROSE,250230,1.00KG,185,$50
DIFFUSER OIL,EXOTIC INFUSION,,EXOTIC INFUSION,250231,1.00KG,185,$50
DIFFUSER OIL,JUICY MELON,,JUICY MELON,250232,1.00KG,185,$50
DIFFUSER OIL,KING VALLEY,,KING VALLEY,250233,1.00KG,275,$75
DIFFUSER OIL,MARACUYA,,MARACUYA,250234,1.00KG,185,$50
DIFFUSER OIL,MIDNIGHT,,MIDNIGHT,250235,1.00KG,275,$75
DIFFUSER OIL,PASSION,,PASSION,250236,1.00KG,255,$70
DIFFUSER OIL,PASSION FLOWER,,PASSION FLOWER,250237,1.00KG,255,$70
DIFFUSER OIL,PEACH,,PEACH,250238,1.00KG,185,$50
DIFFUSER OIL,PINK SWEET,,PINK SWEET,250239,1.00KG,185,$50
DIFFUSER OIL,AFKAR,,AFKAR,250240,1.00KG,275,$75
DIFFUSER OIL,DFX,,DFX,250241,1.00KG,185,$50
DKNY,BE DELICIOUS  TOP,,BE DELICIOUS  TOP,250414,1.00KG,850,$232
DUSITA,TONKA LATTE,,TONKA LATTE,250054,1.00KG,700,$191
DONNA KARAN,CASHMERE & VANILLA ESSENCE,,CASHMERE & VANILLA ESSENCE,250223,1.00KG,850,$232
DONNA KARAN,24/7,,24/7,240880,1.00KG,850,$232
D & G,FEFE,,FEFE,250393,1.00KG,500,$137
D & G,VELVET PASSION OUD,,VELVET PASSION OUD,250360,1.00KG,1100,$301
D & G,VELVET BERGAMOT,,VELVET BERGAMOT,250220,1.00KG,1000,$273
D & G,DOLCE PEONY,,DOLCE PEONY,250120,1.00KG,700,$191
D & G,BY WOMEN,,BY WOMEN,250066,1.00KG,850,$232
D & G,DEVOUTION POUR HOMME,,DEVOUTION POUR HOMME,250003,1.00KG,850,$232
D & G,LIGHT BLUE CAPRI IN LOVE,,LIGHT BLUE CAPRI IN LOVE,240978,1.00KG,1100,$301
D & G,L'IMPERATRICE ROYALE,,L'IMPERATRICE ROYALE,240948,1.00KG,1000,$273
D & G,VELVET ZAFFRANO,,VELVET ZAFFRANO,240898,1.00KG,1200,$327
D & G,THE ONE FOR MEN EDP INTENSE,,THE ONE FOR MEN EDP INTENSE,240796,1.00KG,1000,$273
D & G,THE ONE ROYAL NIGHT,,THE ONE ROYAL NIGHT,240600,1.00KG,700,$191
D & G,DEVOUTION INTENSE,,DEVOUTION INTENSE,240563,1.00KG,850,$232
D & G,THE ONE LUMINOUS NIGHT TOP,,THE ONE LUMINOUS NIGHT TOP,240332,1.00KG,1000,$ 273
D & G,ORANGE,,ORANGE,240333,1.00KG,900,$245
D & G,LEMON,,LEMON,240331,1.00KG,850,$232
D & G,PINEAPPLE,,PINEAPPLE,240251,1.00KG,900,$245
D & G,3 L' IMPERATRICE,LZ,REINE,338534,1.00KG,330,$ 90
D & G,DOLCE GARDEN,LZ,ITALIAN LANDSCAPE,503506,1.00KG,390,$ 107
D & G,D & G KING,,D & G KING,250195,1.00KG,500,$ 137
D & G,Q BY DOLCE &GABBANA,LZ,CONTEMPORARY QUEEN,336301-A,1.00KG,650,$ 178
D & G,LIGHT BLUE WOMEN,,LIGHT BLUE WOMEN,250185,1.00KG,500,$ 137
D & G,LIGHT BLUE MEN,,LIGHT BLUE MEN,250184,1.00KG,550,$ 150
D & G,THE ONLY ONE,LZ,FOREVER YOURS,461488,1.00KG,580,$ 158
D & G,VELVET DESERT OUD,LZ,SILK EBONY & OUD,230798-B,1.00KG,350,$ 96
D & G,VELVET DESERT OUD,LZ,SILK EBONY & OUD,230798,1.00KG,500,$ 137
D & G,VELVET INCENSO,LZ,CHURCH TOWN,343664,1.00KG,580,$ 158
D & G,VELVET INCENSO,LZ,CHURCH TOWN,343664-B,1.00KG,330,$ 90
D & G,VELVET ORIENTAL MUSK,LZ,LAND OF SICILY,462109-A,1.00KG,450,$ 123
D & G,ROSE THE ONE,LZ,FIRST ROSE,359610,1.00KG,275,$ 75
D & G,LIGHT BLUE FOREVER,LZ,CELESTIAL CORSET,343928,1.00KG,610,$ 167
D & G,VELVET BLACK PATCHOULI,LZ,WOODY DARKNESS,343953,1.00KG,550,$ 150
D & G,DEVOUTION,,DEVOUTION,240117,1.00KG,850,$232
D & G,MY DEVOUTION INTENSE,,MY DEVOUTION INTENSE,250248,1.00KG,850,$232
D & G,D&G THE ONE WOMAN,,D&G THE ONE WOMAN,3000189,1.00KG,275,$ 75
D & G,D&G THE ONE MAN TOP,,D&G THE ONE MAN TOP,240451,1.00KG,580,$ 158
D & G,D&G THE ONE MAN,,D&G THE ONE MAN,240030,1.00KG,275,$ 75
D & G,GREY,,GREY,3000190,1.00KG,275,$ 75
D & G,INTENSE WOMAN,,INTENSE WOMAN,3000191,1.00KG,275,$ 75
D & G,INTENSO D & G,,INTENSO D & G,3000192,1.00KG,275,$ 75
D & G,K BY D & G,,K BY D & G,3000193,1.00KG,275,$ 75
D & G,LIGHT BLUE LOVE IS LOVE,,LIGHT BLUE LOVE IS LOVE,3000194,1.00KG,275,$ 75
D & G,LIGHT BLUE WOMAN,,LIGHT BLUE WOMAN,3000195,1.00KG,310,$ 85
D & G,THE ONE MYSTERIOUS,,THE ONE MYSTERIOUS,3000196,1.00KG,610,$ 167
D & G,THE ONLY ONE,,THE ONLY ONE,3000197,1.00KG,275,$ 75
D & G,VELVET DESERT OUD,,VELVET DESERT OUD,3000198,1.00KG,275,$ 75
D & G,VELVET ORIENTAL MUSK,,VELVET ORIENTAL MUSK,3000199,1.00KG,660,$ 180
D & G,VELVET ORIENTAL MUSK,,VELVET ORIENTAL MUSK,3000200,1.00KG,275,$ 75
D & G,VELVET BLACK PATCHOULY,,VELVET BLACK PATCHOULY,3000201,1.00KG,400,$ 109
D&G,L' IMPERATRICE 2020 LIMITED,LZ,JEANNE PINK,233468,1.00KG,610,$ 167
D&G,DOLCE,LZ,DELICATE ESSANCE,231643-A,1.00KG,300,$ 82
D&G,THE ONLY GREY,,THE ONLY GREY,3000203,1.00KG,440,$ 120
D&G,THE ONLY ONE 2,,THE ONLY ONE 2,3000204,1.00KG,390,$ 107
DALAH AL BANAT,DALAH AL BANAT,,DALAH AL BANAT,3000205,1.00KG,275,$ 75
DANA,DANA,,DANA,3000206,1.00KG,275,$ 75
DANAT AL DUNIYA,DANAT AL DUNIYA,,DANAT AL DUNIYA,3000207,1.00KG,275,$ 75
DANAT AL DUNIYA,DUNIYA TOP,,DUNIYA TOP,3000208,1.00KG,350,$ 96
DAVID BECKHAM,"DAVID BECKHAM FOLLOW
YOUR",LZ,SPICEMAN,233706-A,1.00KG,330,$ 90
DAVIDOFF,COOL WATER MEN TOP,,COOL WATER MEN TOP,240399,1.00KG,550,$ 150
DAVIDOFF,INDIGO,,INDIGO,250254,1.00KG,500,$ 137
DAVIDOFF,COOL ELIXIR 2025,,COOL ELIXIR 2025,250059,1.00KG,850,$ 232
DAVIDOFF,COOL WATER WOMAN,LZ,AQUATIC LADY YS,694435,1.00KG,290,$ 79
DAVIDOFF,COOL WATER WOMAN,LZ,AQUATIC LADY,341992-A,1.00KG,275,$ 75
DAVIDOFF,COOL WATER WOMAN,LZ,AQUATIC LADY,341992-D,1.00KG,275,$ 75
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
DAVIDOFF,COOL WATER WOMAN BLUE,LZ,AQUATIC LADY BLUE,345219-A,1.00KG,275,$ 75
DAVIDOFF,COOL WATER WOMEN,LZ,AQUATIC DREAMS,693252,1.00KG,450,$ 123
DAVIDOFF,COOL WATER WAVE MEN,,COOL WATER WAVE MEN,3000209,1.00KG,275,$ 75
DAVIDOFF,HORIZON,,HORIZON,3000210,1.00KG,275,$ 75
DAVIDOFF,LAETHER BLEND,,LAETHER BLEND,3000211,1.00KG,275,$ 75
DAVIDOFF,RUN WILD FOR HER,,RUN WILD FOR HER,3000212,1.00KG,275,$ 75
DAVIDOFF,RUN WILD FOR HIM,,RUN WILD FOR HIM,3000213,1.00KG,275,$ 75
DAVIDOFF,WOOD BLEND,,WOOD BLEND,3000214,1.00KG,275,$ 75
DIESEL,BAD INTENSE,,BAD INTENSE,3000215,1.00KG,275,$ 75
DIESEL,DIESEL ONLY TATTOO,,DIESEL ONLY TATTOO,3000216,1.00KG,275,$ 75
DIESEL,ONLY THE BRAVE,,ONLY THE BRAVE,3000217,1.00KG,275,$ 75
DIOR,CUIR SADDLE,,CUIR SADDLE,250474,1.00KG,1300,$ 355
DIOR,SAKURA,,SAKURA,250411,1.00KG,1100,$ 301
DIOR,MISS DIOR ESSENCE,,MISS DIOR ESSENCE,250263,1.00KG,850,$ 232
DIOR,ROSE STAR,,ROSE STAR,250166,1.00KG,1000,$ 273
DIOR,SAUVAGE EXTREME,,SAUVAGE EXTREME,250068,1.00KG,1100,$ 301
DIOR,AMBER NUIT ESPRIT,,AMBER NUIT ESPRIT,250020,1.00KG,1100,$ 301
DIOR,EAU SAUVAGE,,EAU SAUVAGE,250005,1.00KG,1200,$ 327
DIOR,BOIS TALISMAN,,BOIS TALISMAN,240966,1.00KG,850,$ 232
DIOR,LUCKY,,LUCKY,240923,1.00KG,950,$ 260
DIOR,ROUGE TRAFALGAR ESPRIT DE PARFUME,,ROUGE TRAFALGAR ESPRIT DE PARFUME,240908,1.00KG,1500,$ 409
DIOR,ONLY THE BRAVE STREET,,ONLY THE BRAVE STREET,3000218,1.00KG,275,$ 75
DIOR,HOMME INTENSE 2025,,HOMME INTENSE 2025,240755,1.00KG,1100,$ 301
DIOR,GRIS DIOR ESPRIT DE PARFUM,,GRIS DIOR ESPRIT DE PARFUM,240639,1.00KG,1100,$ 301
DIOR,SAUVAGE EAU FORTE,,SAUVAGE EAU FORTE,240570,1.00KG,900,$ 245
DIOR,HOMME PARFUM TOP,,HOMME PARFUM TOP,240449,1.00KG,1300,$ 355
DIOR,FOREVER AND EVER TOP,,FOREVER AND EVER TOP,240358,1.00KG,580,$ 158
DIOR,MISS DIOR ROSE N ROSES,,MISS DIOR ROSE N ROSES,240323,1.00KG,750,$ 205
DIOR,MISS DIOR PARFUM 2024,,MISS DIOR PARFUM 2024,240201,1.00KG,1000,$ 273
DIOR,NEW LOOK 2024,,NEW LOOK 2024,240161,1.00KG,550,$ 150
DIOR,GRIS MONTAIGNE,LZ,EARTHY WOODS,4000064-A,1.00KG,720,$ 197
DIOR,HOLY PEONY,LZ,FRAGILE,233686,1.00KG,420,$ 115
DIOR,MISS DIOR CHERIE,LZ,MISS DARLING,236522-B,1.00KG,275,$ 75
DIOR,PURPLE OUD TOP,LZ,OUD FULL MOON,343675-T,1.00KG,1100,$ 301
DIOR,PURPLE OUD,LZ,OUD FULL MOON,343675,1.00KG,550,$ 150
DIOR,SAUVAGE,LZ,HEY JOHNNY,342272-T,1.00KG,980,$ 268
DIOR,HOMME COLONGE 2022 TOP,,"HOMME COLONGE 2022
TOP",240249,1.00KG,1350,$ 355
DIOR,HOMME 2020 TOP,,HOMME 2020 TOP,240193,1.00KG,1200,$ 327
DIOR,OUD ROSEWOOD TOP,,OUD ROSEWOOD TOP,240832,1.00KG,880,$ 240
DIOR,SAUVAGE,LZ,HEY JOHNNY,342272,1.00KG,580,$ 158
DIOR,SAUVAGE LZ,LZ,HEY JOHNNY,342272-A,1.00KG,400,$ 109
DIOR,TOBACOLOR TOP,,TOBACOLOR TOP,240400,1.00KG,1300,$ 355
DIOR,VANILLA DIORAMA,LZ,DREAMY SCENT,336037,1.00KG,610,$ 167
DIOR,SAUVAGE ELIXIR,LZ,HEY JOHNNY BOY,343920,1.00KG,610,$ 167
DIOR,SAUVAGE ELIXIR,LZ,HEY JOHNNY BOY,343920-A,1.00KG,510,$ 139
DIOR,JADORE LZ,LZ,DROP IN GOLD,353495,1.00KG,470,$ 128
DIOR,JADORE,,JADORE,250319,1.00KG,470,$ 128
DIOR,SAUVAGE ELIXIR TOP,LZ,HEY JOHNNY BOY,343920-T,1.00KG,1500,$ 410
DIOR,PATCHOULI ELIXIR PRECIEUX,LZ,TRUE TREASURE,504019,1.00KG,650,$ 178
DIOR,MISS DIOR ROSE ESSENCE,LZ,STAY CLOSER TO ME,233115-T,1.00KG,780,$ 213
DIOR,ADDICT TOP,,ADDICT TOP,240324,1.00KG,580,$ 158
DIOR,MISS DIOR,,MISS DIOR,250049,1.00KG,850,$ 232
DIOR,MISS DIOR,LZ,LOVEY,693266,1.00KG,560,$ 153
DIOR,POISON,LZ,PASSIFLORA,693255,1.00KG,390,$ 107
DIOR,OUD ISPAHAN TOP,,OUD ISPAHAN TOP,240057,1.00KG,730,$ 200
DIOR,AMBER NUIT TOP,,AMBER NUIT TOP,240919,1.00KG,1000,$ 273
DIOR,DIOR HOMME  INTENSE,,DIOR HOMME  INTENSE,240031,1.00KG,700,$ 191
DIOR,FAHRENHEIT TOP,,FAHRENHEIT TOP,240316,1.00KG,580,$ 158
DIOR,GRIS TOP,,GRIS,240086,1.00KG,950,$ 260
DIOR,GRIS MONTAIGNE,,GRIS MONTAIGNE,3000220,1.00KG,310,$ 85
DIOR,HYPNOTIC POISON TOP,,HYPNOTIC POISON TOP,240384,1.00KG,580,$ 158
DIOR,J ADORE,,J ADORE,3000221,1.00KG,275,$ 75
DIOR,JOY,,JOY,3000222,1.00KG,275,$ 75
DIOR,MISS DIOR N ROSES,,MISS DIOR N ROSES,3000223,1.00KG,275,$ 75
DIOR,POISON GIRL,,POISON GIRL,3000224,1.00KG,300,$ 82
DIOR,POISON GIRL UNEXPECTED,,POISON GIRL UNEXPECTED,3000225,1.00KG,275,$ 75
DIOR,PURE POISON,,PURE POISON,250150,1.00KG,850,$ 232
DIOR,PURPLE OUD,,PURPLE OUD,3000227,1.00KG,500,$ 137
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
DIOR,HOMME INTENSE,,HOMME INTENSE,240031,1.00KG,700,$ 191
DIOR,SAUVAGE EDP,,SAUVAGE EDP,3000228,1.00KG,275,$ 75
DIOR,SAUVAGE VERY COOL SPRAY,,SAUVAGE VERY COOL SPRAY,3000229,1.00KG,440,$ 120
DIOR,OUD ROSEWOOD,,OUD ROSEWOOD,3000230,1.00KG,275,$ 75
DIOR,ROUGE TRAFALGAR TOP,,ROUGE TRAFALGAR TOP,240543,1.00KG,850,$ 232
DIOR,SAUVAGE,,SAUVAGE,240019,1.00KG,250,$ 68
DIOR,EDEN ROC,,EDEN ROC,3000231,1.00KG,330,$ 90
DIOR,SANTAL NOIR,,SANTAL NOIR,3000232,1.00KG,330,$ 90
DIOR,SAUVAGE ELIXIR,,SAUVAGE ELIXIR,240026,1.00KG,500,$ 137
DIOR,SAUVAGE ELIXIR,,SAUVAGE ELIXIR,240011,1.00KG,500,$ 137
DIOR,LEATHER OUD,,LEATHER OUD,3000233,1.00KG,275,$ 75
DIOR,"MISS DIOR BLOOMING
BOUQUET 2023",,"MISS DIOR BLOOMING
BOUQUET 2023",240152,1.00KG,650,$ 178
DIOR,BOIS D' ARGENT,,BOIS D' ARGENT,240139,1.00KG,950,$ 260
DIOR,DIOR HOMME SPORT 2021 TOP,,DIOR HOMME SPORT 2021 TOP,240250,1.00KG,580,$ 158
DIOR,SAUVAGE,,SAUVAGE,3000234,1.00KG,250,$ 68
DIPTYQUE,DO SON,,DO SON,240276,1.00KG,850,$ 232
DIPTIQUE,ORPHEON,,ORPHEON,250442,1.00KG,850,$ 232
DIPTIQUE,LAZULIO,,LAZULIO,250394,1.00KG,1100,$ 301
DIPTIQUE,L EAU PAPIER,,L EAU PAPIER,250031,1.00KG,850,$ 232
DIPTIQUE,TAM DAO,LZ,MEMORISE OF ASIA,160854,1.00KG,700,$ 191
DIPTYQUE,TAM DAO,,TAM DAO,240120,1.00KG,450,$ 123
DIPTIQUE,VOLUTES EAU DE PARFUM,LZ,ROMAN HERITAGE,233425,1.00KG,830,$ 227
DIPTYQUE,FLUER DE PEAU EDP TOP,,FLUER DE PEAU EDP TOP,240401,1.00KG,850,$232
DONNA,TRUSSARDI DONNA,,TRUSSARDI DONNA,3000235,1.00KG,440,$ 120
DS&Durga,STEAMED RAINBOW,,STEAMED RAINBOW,48O8DF,1.00KG,1045,$ 285
DSQUARED,WOOD FOR HER,LZ,PINK MAPLE LEAF,503568,1.00KG,390,$ 107
DSQUARED,WOOD FOR HIM,LZ,BROWN MAPLE LEAF,233631,1.00KG,610,$ 167
DUA AL ZANNAH,DUA AL ZANNAH GR,,DUA AL ZANNAH GR,3000236,1.00KG,275,$ 75
DUNHILL,ICON ELITE,,ICON ELITE,250417,1.00KG,1100,$ 301
DUNHILL,ICON ABSOLUTE,,ICON ABSOLUTE,240838,1.00KG,850,$ 232
DUNHILL,DESIRE FOR MEN,LZ,GREED,354414-B,1.00KG,350,$ 96
DUNHILL,DUNHILL DESIRE BLUE TOP,,DUNHILL DESIRE BLUE TOP,240806,1.00KG,550,$ 150
DUNHILL,DESIRE FOR MEN,,DESIRE FOR MEN,3000237,1.00KG,275,$ 75
DUNHILL,DUNHILL FRESH TOP,,DUNHILL FRESH TOP,240807,1.00KG,500,$ 137
DUNHILL,DUNHILL ICON MAN,,DUNHILL ICON MAN,240158,1.00KG,275,$ 75
DUNHILL,SENTURY BY ALFRED,,SENTURY BY ALFRED,3000239,1.00KG,390,$ 107
DYNASTY OF,MISTER,LZ,GRIMALDI,503439,1.00KG,330,$ 90
ETAT LIBRE D ORANGE,YOU OR SOMEONE LIKE YOU,,YOU OR SOMEONE LIKE YOU,250363,1.00KG,1100,$ 301
ETAT LIBRE D ORANGE,NOSTOS,,NOSTOS,250250,1.00KG,1300,$ 355
EMIRATES PRIDE,MIDNIGHT GLOW,,MIDNIGHT GLOW,250024,1.00KG,850,$ 232
EGYPTIAN,ASHAK AL OUD BKH,,ASHAK AL OUD BKH,3000240,1.00KG,330,$ 90
EGYPTIAN,BAKHOOR SPICY ROSE,,BAKHOOR SPICY ROSE,3000241,1.00KG,275,$ 75
EGYPTIAN,BAKHOOR SPICY WIND,,BAKHOOR SPICY WIND,3000242,1.00KG,275,$ 75
EGYPTIAN,BLUE BAKHOOR,,BLUE BAKHOOR,3000243,1.00KG,275,$ 75
EGYPTIAN,MANGALA BLEU,,MANGALA BLEU,3000244,1.00KG,275,$ 75
Electimuss,Patchouli of the Underworld,,Patchouli of the Underworld,3000245,1.00KG,1300,$ 355
ELIE SAAB,ELIXIR LOVE,,ELIXIR LOVE,250073,1.00KG,1000,$ 273
ELIE SAAB,GIRL OF NOW,,GIRL OF NOW,240650,1.00KG,580,$ 158
ELIE SAAB,NUIT NOOR,LZ,BEIRUT MUSE,232958,1.00KG,390,$ 107
ELIE SAAB,ELLIE SAAB,,ELLIE SAAB,3000246,1.00KG,275,$ 75
ELIE SAAB,LE PARFUM,,LE PARFUM,240834,1.00KG,500,$ 137
ELIZABETH ARDEN,5TH AVENUE,,5TH AVENUE,3000248,1.00KG,275,$ 75
ELLIE SAAB,LE PARFUME ESSENTIEL,,LE PARFUME ESSENTIEL,3000249,1.00KG,275,$ 75
ESCADA,TAJ SUNSET,LZ,GLOAMING CROWN,340188,1.00KG,385,$ 105
ESCADA,MOON SPARKLE,LZ,TWINKLING MOON,337081,1.00KG,350,$ 96
ESCADA,MOON WOMAN,LZ,TWINKLING MOON,693256,1.00KG,330,$ 90
ESCADA,CHERRY IN THE AIR,,CHERRY IN THE AIR,3000250,1.00KG,275,$ 75
ESCADA,ESCADA CALLECTION,,ESCADA CALLECTION,3000251,1.00KG,275,$ 75
ESCADA,ESCADA ISLAND KISS,,ESCADA ISLAND KISS,3000252,1.00KG,275,$ 75
ESCADA,ESCADA MOON NEW WO,,ESCADA MOON NEW WO,3000253,1.00KG,275,$ 75
BRAND,NAME,ORI,CN,CODE,QTY,AED,USD
ESCADA,ESCADA SPECIALITY ALEKSER,,ESCADA SPECIALITY ALEKSER,3000254,1.00KG,275,$ 75
ESCADA,ESCADA SUNSET HEAT( M),,ESCADA SUNSET HEAT( M),3000255,1.00KG,275,$ 75
ESCADA,ESCADA TAJ,,ESCADA TAJ,3000256,1.00KG,275,$ 75
ESCADA,FIESTA CARIOCA,,FIESTA CARIOCA,3000257,1.00KG,275,$ 75
ESCADA,MAGNETISM,,MAGNETISM,3000258,1.00KG,275,$ 75
ESCADA,MIAMI BLOSSOM,,MIAMI BLOSSOM,3000259,1.00KG,275,$ 75
ESCADA,SEXY GRAFI ESCADA,,SEXY GRAFI ESCADA,3000260,1.00KG,275,$ 75
ESCADA,TURQUOISE SUMMER ESCADA,,TURQUOISE SUMMER ESCADA,3000261,1.00KG,275,$ 75
ESCAFAWA TR,ESCAFAWA TR,,ESCAFAWA TR,3000262,1.00KG,275,$ 75
ESCENTRIC,ESCENTRIC 02 EXTRAIT,,ESCENTRIC 02 EXTRAIT,250261,1.00KG,1400,$ 382
ESCENTRIC,MOLECULE 01 + MANDARIN,LZ,MONO UNO AGRUMATO,680231,1.00KG,660,$ 180
ESCENTRIC,MOLECULE 01 + IRIS LZ,LZ,MONO UNO AROMATICO,580215,1.00KG,1650,$ 451
ESCENTRIC,MOLECULE 01 + PATCHOUL LZ,LZ,MONO UNO LEGNOSO,580214,1.00KG,390,$ 107
ESCENTRIC,MOLECULE01+MANDARIN,,MOLECULE01+MANDARIN,3000263,1.00KG,720,$ 197
ESCENTRIC,MOLECULE 01 + IRIS,,MOLECULE 01 + IRIS,3000264,1.00KG,770,$ 210
ESCENTRIC,MOLECULE 01 + PATCHOULI,,MOLECULE 01 + PATCHOULI,3000265,1.00KG,610,$ 167
ESCENTRIC MOLECULES,MOLECULE 05 TOP LZ,LZ,EDGU FRESH,233357-T,1.00KG,935,$ 255
ESCENTRIC MOLECULES,ESCENTRIC 01 / LUZI,LZ,SENSA ONE,351801,1.00KG,550,$ 150
ESCENTRIC MOLECULES,ESCENTRIC 02,LZ,SENSA TWO,260737,1.00KG,1540,$ 421
"ESCENTRIC
MOLECULES",ESCENTRIC 03/ LUZI,LZ,SENSA THREE,338839,1.00KG,880,$ 240
