fatima ,,,,
,,,,
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
AMOUAGE,ROSE INCENSE,,$197,720
AMOUAGE,SILVER  MEN,,$205,750
AMOUAGE,SUNSHINE MEN,,$145,530
AMOUAGE,SUNSHINE WOMEN,,$145,530
AMOUAGE,IMITATION WOMAN,,$235,860
AMOUAGE,INTERLUDE BLACK IRIS,,$280,1025
AMOUAGE,SILVER OUD,,$145,530
AMOUAGE,DIA WOMAN,,$183,670
AMOUAGE,JUBILATION 40 MAN,,$227,830
AMOUAGE,PURPOSE TOP,S400441,$301,1100
AMOUAGE,LUSTRE TOP,,$396,1450
AMOUAGE,LUSTRE TOP,,$328,1200
AMOUAGE,GUIDANCE 46 TOP,S40102,$383,1400
AMOUAGE,GUIDANCE 46,S400251,$158,580
AMOUAGE,OUTLANDS TOP,S400471,$355,1300
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
AMOUAGE,PURPOSE 50 TOP,,$533,1950
AMOUAGE,GUIDANCE TOP,S400177,$177,700
AMOUAGE,SINDABAD,S400123,$232,850
AMOUAGE,ENCLAVE,PB559,$464,1700
AMOUAGE,SEQUENCE,S400200,$286,1050
AMOUAGE,OPUS XVI TIMBER,PB584,$286,1050
AMOUAGE,LOVE TUBEROSE,PB597,$355,1300
AMOUAGE,DECISION,IP-408,$519,1900
AMOUAGE,EXISTENCE TOP,IP-475,$628,2300
AMOUAGE,SEARCH,PB850,$437,1700
AMOUAGE,LUBAN AL AKHDAR,IP-584,"$1,366",5000
AMOUAGE,LINE 618 TOP,S400118,$308,1130
AMOUAGE,RECEPTION,,$437,1600
AMOUAGE,VANILLA BARAKA,PB64,$601,2200
AMOUAGE,OUD ULYA,PB66,$601,2200
AMOUAGE,INTERLUDE 53 TOP,PB657,$245,900
AMOUAGE,LILAC LOVE,PB589,$327,1200
AMOUAGE,REFLACTION 45,PB567,$491,1800
AMOUAGE,OPUS XIV ROYAL TOBACCO,PB457,$341,1250
AMOUAGE,LOVE DELIGHT,PB894,$301,1100
AMOUAGE,LUSTRE NO,,$219,800
AMOUAGE,OPUS XV - KING BLUE,,$150,550
AMOUAGE,GUIDANCE,,$268,980
AMOUAGE,GUIDANCE 46,,$148,540
ANFASIC DOKHOON,JANUARY,,$145,530
ANFASIC DOKHOON,SHAY,,$145,530
ANFASIC DOKHOON,SHAY SHAY,PB8467,$204,750
ANFASIC DOKHOON,SUKAR,,$145,530
ANFASIC DOKHOON,WOW,,$145,530
ANFASIC DOKHOON,ONE TIME SHAY #06,,$306,1120
ANGEL SHLESSER,ANGEL SCHLESSER FEMME,,$130,475
ANNA SUI,FANTASIA,,$161,590
ANNA SUI,FLIGHT OF FANCY SPIRIT,,$167,610
ANNA SUI,LUCKY WISH,,$145,530
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
ANNA SUI,MELLOW YELLOW SUNDAY,,$153,560
ANTONIO BANDERAS,BLUE SEDUCTION MEN LUZI TOP,,$205,750
ANTONIO BANDERAS,BLUE SEDUCTION FOR MEN BLUE,,$191,700
ANTONIO BANDERAS,BLUE SEDUCTION TOP,,$161,590
ANTONIO BANDERAS,BLUE SEDUCTION BLUE,,$137,500
ANTONIO BANDERAS,SEDUCTION IN BLACK,,$145,530
ANTONIO BANDERAS,THE SECRET,,$137,500
ANTONIO BANDERAS,THE SECRET TEMPTATION,,$205,750
ANTONIO BANDERAS,THE ICON,,$161,590
AQUOLINA,PINK SUGAR,S400344,$90,330
AQUOLINA,BLACK SUGAR,,$130,475
ARABIAN OUD,AL FAREED,PB587,$245,900
ARABIAN OUD,RESALAH,PB584,$164,600
ARABIAN OUD,MADAWI TOP,S400537,$172,630
ARABIAN OUD,SULTANI AMBERWOOD,PB87,$286,900
ARABIAN OUD,ARABIAN KNIGHT,,$251,920
ARABIAN OUD,ARABIAN OUD,,$221,810
ARABIAN OUD,BAKHOOR DEWAN AL SHARQ,,$161,590
ARABIAN OUD,KALIMAT TOP,S40048,$202,740
ARABIAN OUD,MABSOOS,,$145,530
ARABIAN OUD,MAJESTIC SPECIAL OUD,,$130,475
ARABIAN OUD,MAJOON,,$161,590
ARABIAN OUD,SULTANI,PB801,$245,900
ARABIAN OUD,OUD MOODY,,$145,530
ARABIAN OUD,MADAWI,,$150,550
ARABIAN OUD,MADAWI 40 YEARS GOLD EDITION,,$150,550
ARD AL ZAAFRAN,HAREEM AL SULTAN,,$130,475
ARD AL ZAAFRAN,DIRHAM,,$130,475
ARIANA GRANDE,THANK U  NEXT,PB580,$191,700
ARIANA GRANDE,CLOUD,PB840,$204,750
ARIANA GRANDE,CLOUD PINK,PB5900,$355,1300
ARIANA GRANDE,MOD VANILLA,,$180,660
ARIANA GRANDE,THANK U NEXT,,$169,620
ARIANE GRANDE,ARI -ARIANE GRANDE,,$199,730
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
ARIANE GRANDE,ARMANI CODE FOR WOMAN,,$191,700
ARMAF,CLUB DE NUIT INTENSE,PB-849,$164,600
ARMAF,CLUB DE NUIT INTENSE TOP,,$286,1050
ARMAF,ODYSSEY DUBAI CHOCOLATE,PB809,$286,1050
ARABIYAT OUD,AL LAYL,PB9805,$178,650
ARMAND BASI,IN RED,,$161,590
ARMANI,STRONGER WITH YOU POWERFULLY,,$191,700
ARMANI,MY WAY SUNNY VANILLA,PB05050,$218,800
ARMANI,PRIVE IRIS BLEU,PB0295,$355,1300
ARMANI,SI PERFUME,PB029,$245,900
ARMANI,SI PASSIONE RED MUSK,PB089,$301,1100
ARMANI,CODE EAU DE PARFUM,PB570,$286,1050
ARMANI,THE YULONG,PB580,$409,1500
ARMANI,STRONGER WITH YOU SANDALWOOD TOP,S400444,$301,1100
ARMANI,STRONGER WITH YOU SPICES,,$207,760
ARMANI,MY WAY YLANG,PB689,$286,1050
ARMANI,PRIVE ROSE D ARABIE,PB690,$314,1150
ARMANI,PRIVE OUD ROYAL,PB8005,$409,1500
ARMANI,ATTITUDE,PB805,$213,780
ARMANI,SI INTENSE,PB508,$301,1200
ARMANI,ACQUA DI GIOIA INTENSE,PB980,$213,780
ARMANI,MY WAY NECTAR,PB802,$218,800
ARMANI,SI EDP INTENSE TOP,PB809,$286,1050
ARMANI,ROUGE MALACHITE,,$267,980
ARMANI,ACQUA DI GIO ELIXIR TOP,S400434,$301,1100
ARMANI,RONDO ARMANIANO,PB802,$464,1700
ARMANI,ACQUA DI GIO ABSOLU TOP,S40081,$172,630
ARMANI,ACQUA DI GIO POUR  HOMME TOP,S400174,$123,450
ARMANI,AQUA DI GIOIA LIGHT,,$130,475
ARMANI,SI NUDE BLOOM,S400402,$177,650
ARMANI,ARMANI CALLIGRAPHY ROSE,,$130,475
ARMANI,SI PASSIONE RED BLOOM (2026),S400246,$173,636
ARMANI,ARMANI CODE,29598-I,$123,450
ARMANI,ARMANI CODE ABSOLU,,$130,475
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
ARMANI,ARMANI CODE BLACK,,$130,475
ARMANI,ARMANI CODE CASHMERE,S400398,$120,440
ARMANI,OUD NACRE,PB4002,$464,1700
ARMANI,ARMANI CODE PARFUM,,$122,447
ARMANI,ARMANI CODE ICE,,$130,475
ARMANI,ARMANI PRIVE OUD,,$130,475
ARMANI,ARMANI PRIVE PIVOINE SUZHOU,,$205,750
ARMANI,IN LOVE WITH YOU,,$130,475
ARMANI,MUSC SHAMAL PRIVE,,$130,475
ARMANI,PRIVE VERT MALACHITE,,$130,475
ARMANI,SI FIORI,,$130,475
ARMANI,SI PASSIONE TOP,S40041,$164,600
ARMANI,SI PASSIONE SP,S400389,$126,460
ARMANI,SI,S400266,$175,640
ARMANI,ACQUA DI GIO ABSOLU INSTINCT,,$199,730
ARMANI,MUSC SHAMAL,,$199,730
ARMANI,MY WAY TOP,S400324,$265,970
ARMANI,SI FIORI,,$175,640
ARMANI,SABLE NUIT,,$221,810
ARMANI,AQUA DI GIO PROFONDO LIGHTS 2021,,$235,860
ARMANI,MY WAY INTENSE,,$145,530
ARMANI,STRONGER WITH YOU INTENSELY,S40057,$180,660
ARMANI,STRONGER WITH YOU ABSOLUTELY,S40062,$175,640
ARMANI,STRONGER WITH YOU TOBACCO,S40087,$255,930
ARMANI,STRONGER WITH YOU TOBACCO TOP,S400436,$273,1000
ARMANI,CUIR ZERZURA,,$221,810
ARMANI,SI PASSIONE INTENSE,,$130,475
ARMANI,SI PASSIONE ECLAT,,$191,700
ARMANI,STRONGER WITH YOU LEATHER,,$130,475
ARMANI,OCEAN DI GIOIA,,$130,475
ARMANI,STRONGER WITH YOU MAN,S400274,$109,400
ARMANI,STRONGER WITH  YOU ONLY MEN,,$191,700
ARMANI,POWER OF YOU TOP,S400478,$301,1100
ARMANI,MY WAY FLORAL,,$150,550
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
ARMANI,STRONGER WITH YOU OUD TOP,,$268,980
ARMANI,ARMANI CODE PARFUM,,$191,700
ARMANI,STRONGER WITH YOU TOBACCO,,$199,730
ARMANI,ACQUA DI GIO PROFONDO PARFUM,S400204,$219,800
ARMANI,ACQUA DI GIO PROFONDO,S40074,$90,330
ARMANI,ACQUA DI GIO PROFUMO TOP,S40058,$196,720
ARMANI,STRONGER WITH YOU PARFUM MEN,,$156,570
ARMANI,ACQUA DI GIO ELIXIR,,$298,1090
ARMANI,MY WAY YLANG,,$227,830
ARMANI,ARMANI CODE,S400262,$120,440
ARMANI,ARMANI CODE ELIXIR,,$221,810
ARMANI,CUIR NU,,$339,1240
ARMANI,MAGENTA TANZANITE,,$295,1080
ARMANI,INDIGO TANZANITE,,$295,1080
ARMANI,SI PASSIONE ECLAT DE PARFUM,,$191,700
ARMANI,JAWHARA ORIENTAL,,$137,500
ARMANI,MY WAY PARFUM,,$279,1020
ARMANI,STRONGER WITH YOU AMBER,,$219,800
ARMANI,SI PASSIONE INTENSE 2024,,$205,750
ATKINSONS,OUD SAVE THE KING,PB0902,$286,1050
ATELIER COLONGE,CLEMENTINE CALIFORNIA,PB023,$246,900
ASDAAF,AMEERAT AL ARAB,S400187,$137,500
ATTAR AL HASK,SKIN MUSK,PB092,$204,750
ATELIER COLOGNE,GOLD LEATHER,,$130,475
ATELIER COLONGE,OUD SAPHIR,,$235,860
ATELIER REBUL,ISTANBUL,,$145,530
ATELIERS DES ORS,PINK ME UP,,$240,880
ATTAR COLLECTION,AL RAYHAN,,$161,590
ATTAR COLLECTION,HAYATI,,$130,475
ATTAR COLLECTION,MUSK KASHMIR,S400136,$117,430
ATTAR COLLECTION,CRISTAL LOVE FOR HER,,$205,750
ATTAR COLLECTION,AREEJ,,$437,1600
ATTAR COLLECTION,FLEUR DE SANTAL,,$150,550
ATYAB AL SHEEKH,ATYAB AL SHEEKH 2020,,$268,980
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
AVON,TODAY,,$130,475
AXE,AXE COLLISION,,$130,475
AZZARO,POUR ELLE 2025,PB0980,$218,800
AZZARO,MOST WANTED INTENSE,PB809,$327,1200
AZZARO,THE MOST WANTED PARFUM,PB064,$301,1100
AZZARO,AZZARO CLUB WOMAN,,$130,475
AZZARO,CHROME EXTREME TOP,S400179,$219,800
AZZARO,CROME AQUA FOR MEN,,$130,475
AZZARO,WANTED,$164,$164,600
AZZARO,WANTED BY NIGHT,,$221,810
AZZARO,WANTED GIRL  BY NIGHT,S400282,$120,440
AZZARO,THE MOST WANTED,,$145,530
AZZARO,FOREVER WANTED ELIXIR,,$145,530
BAHRARA,FARAON RAMSES,PB582,$245,900
BAKHOOR,SHAFEER AL BAKHOOR,,$409,1500
BAKHOOR,CREED AVENTUS BAKHOOR,,$123,450
BAKHOOR,BAKHOOR MOHSIN,,$150,550
