fatima ,,,,
,,,,
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
BVLGARI,OMNIA CRISTALLINE,S400299,$158,580
BVLGARI,ALLEGRA MAGNIFYING MUSK ESSENCE,PB.68,$245,900
BVLGARI,POUR HOMME EXTREM,S400140,$139,510
BVLGARI,AMYTHYSTE,PB.2,$382,1400
BVLGARI,YASEEP,PB0.3,$847,3100
BVLGARI,POUR HOMME SOIR,PB.04,$327,1200
BVLGARI,MAN IN BLACK PARFUM TOP,S400194,$341,1250
BVLGARI,EMPYR,PB.06,$464,1700
BVLGARI,AQVA AMARA,PB.07,$301,1100
BVLGARI,AQVA POUR HOMMEMARINE,PB0.84,$213,780
BVLGARI,FALKER,PB807,$245,900
BVLGARI,ONEKH,PB079,$245,900
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
BVLGARI,AQVA POUR HOMME,PB.98,$191,700
BVLGARI,KOBRA,PB.100,$327,1200
BVLGARI,MAN IN BLACK,,$130,475
BVLGARI,OMANIA PINK SAPPHIRE,,$130,475
BVLGARI,MAN WOOD ESSENCE PERFUME,PB4084,$355,1300
BVLGARI,ROSE ESSENTIELLE,,$130,475
BVLGARI,ROSE GOLDEA,,$205,750
BVLGARI,BVLGARI MAN TERRAE ESSENCE,,$265,970
BVLGARI,LE GEMME OROM,,$246,900
BVLGARI,BVLGARI MAN RAIN ESSENCE,,$130,475
BVLGARI,TYGER TOP,S400306,$437,1600
BVLGARI,TYGER  SP,S400298,$148,540
BVLGARI,TYGER EXTRAIT TOP,S400332,$327,1200
BVLGARI,SAHARE,,$246,900
BVLGARI,AZARAN,,$164,600
BVLGARI,BVLGARI POUR HOMME,,$178,650
BVLGARI,JASMIN NOIR,,$130,475
BVLGARI,BACIAMI,,$164,600
BVLGARI,LE GEMME AMUNAE,,$260,950
BVLGARI,ACQUA POUR HOMME,,$213,780
BYREDO,BOIS OBSCUR,S400248,$178,650
BY REDO,ROUGE CHAOTIQUE,S40092,$191,700
BY REDO,GYPSY WATER ABSOLU,PB4003,$314,1150
BY REDO,LA TULIPE,,$178,650
BY REDO,ROSE OF NO MAN'S LAND,,$273,1000
BYREDO,BAL D AFRIQUE TOP,S400370,$235,860
BYREDO,BIBLOTIQUE  (MEDIUM),,$161,590
BYREDO,IMMORTAL OUD,,$175,640
BYREDO,GYPSY WATER,,$145,530
BYREDO,BLACK SAFFRON TOP,,$221,810
BYREDO,BLACK SAFRAN ABSOLU,S400415,$177,650
BYREDO,SUNDAZED,,$191,700
BYREDO,TABACCO MANDARIN,,$221,810
BYREDO,FLOWERHEAD,,$251,920
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
BYREDO,OPEN SKY,,$251,920
BYREDO,BLANCHE,,$137,500
BYREDO,BLANCHE ABSOLU,S400219,$218,800
BYREDO,BAL D AFRIQUE ABSOLU TOP,S400411,$210,770
BYREDO,ANIMALIQUE TOP,IP-481,$382,1400
BYREDO,SISTER DREAMER,PB904,$464,1700
BYREDO,DE LOS SANTOS,,$287,1050
BYREDO,CUIR OBSCUR,,$130,475
BYREDO,BIBLIOTHEQUE TOP,,$178,650
BYREDO,MOJAVE GHOST TOP,S400354,$199,730
BYREDO,MOJAVE GHOST ABSOLU TOP,S400509,$185,680
BYREDO,SELLIER,,$265,970
BYREDO,MUMBAI NOISE,,$295,1080
BYREDO,EYES CLOSED,,$464,1700
BYREDO,VANILLA ANTIQUE TOP,S400327,$301,1100
BYREDO,MARIJUANA,,$172,630
BYREDO,DESERT DAWN TOP,S400442,$314,1150
BYREDO,ALTO ASTRAL TOP,S400325,$355,1300
BALENCIAGA,LE DIX (2025) TOP,IP-199,$601,2200
BALENCIAGA,TWENTY FOUR SEVEN TOP,IP-996,$546,2000
CACHAREL,AMOR AMOR,,$130,475
COMPOUND,AMBROXEN (POWER),PBFHG,$901,3300
COMPOUND,AMBROXEN OIL,MO8455,$218,800
COMPOUND,HABANOLIDE,PB8547,$245,900
COMPOUND,HEDOINE,PB87,$150,550
COMPOUND,BENZOIN,PB878,$355,1300
COMPOUND,CASHMERAN,PB845,$286,1050
COMPOUND,CETALOX,PB5657,$846,3100
COMPOUND,ISO E SUPER,PB458,$130,475
COMPOUND,GLAXOLIDE,PB45,$123,450
COMPOUND,ROSE MILK,PB794,$109,400
CACHAREL,YES I AM FABULOUS,,$178,650
CRISTIANO RONALDO,CR7,S40018,$71,260
CALVIN KLEIN,C.K BEAUTY,,$134,490
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
CALVIN KLEIN,CK ONE,,$130,475
CALVIN KLEIN,DEEP  EUPHORIA,,$130,475
CALVIN KLEIN,COTTON MUSK BODY MIST,PB4575,$150,550
CALVIN KLEIN,ESCAPE WOMAN,,$130,475
CALVIN KLEIN,ETERNITY AIR MEN,,$130,475
CALVIN KLEIN,ETERNITY AIR WOMAN,,$130,475
CALVIN KLEIN,ETERNITY FLAME,,$130,475
CALVIN KLEIN,ETERNITY MAN,,$130,475
CALVIN KLEIN,ETERNITY WOMAN,,$130,475
CALVIN KLEIN,EUPHORIA FORBIDDEN  WOMAN,,$137,500
CALVIN KLEIN,EUPHORIA PURE GOLD MEN,,$130,475
CALVIN KLEIN,EUPHORIA PURE GOLD WOMAN,,$130,475
CALVIN KLEIN,EUPHORIA WOMAN,,$130,475
CALVIN KLEIN,WOMEN,PB874,$355,1300
CANALI,CANALI DAL 1934,,$355,1300
CARNER BARCELONA,BLACK CALAMUS,,$235,860
CARNER BARCELONA,VOLCANO,,$205,750
CAROLINA HERRERA,STALLION LEATHER SIROCCO,S400226,$191,700
CAROLINA HERRERA,CEDAR CHIC TOP,S40096,$273,1000
CAROLINA HERRERA,STALLION LEATHER SUEDE,S400191,$229,840
CAROLINA HERRERA,VERY GOOD GIRL ELIXIR,PB8458,$286,1050
CAROLINA HERRERA,GOOD GIRL SPARKLING ICE,PB5448,$286,1050
CAROLINA HERRERA,BAD BOY COBALT ABSOLUTE,S400280,$180,660
CAROLINA HERRERA,GOOD GIRL SUPREME,PB5745,$286,1050
CAROLINA HERRERA,BAD BOY COBALT ELIXIR,PB8457,$327,1200
CAROLINA HERRERA,BIRDS OF PARADISE FOR HER,PB547,$245,900
CAROLINA HERRERA,CHIC FOR MEN,PB4578,$178,650
CAROLINA HERRERA,212 MAN,,$134,490
CAROLINA HERRERA,212 MEN ACQUA,,$130,475
CAROLINA HERRERA,212 MEN ICE,,$145,530
CAROLINA HERRERA,212 SEXY MAN,,$130,475
CAROLINA HERRERA,212 SEXY WOMAN,,$130,475
CAROLINA HERRERA,212 VIP CLUB,,$130,475
CAROLINA HERRERA,212 VIP BLACK,S400396,$112,410
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
CAROLINA HERRERA,212 VIP BLACK CAB,PB801,$204,750
CAROLINA HERRERA,212 VIP ROSE CAB,S400409,$188,690
CAROLINA HERRERA,212 VIP MEN TOP,,$205,750
CAROLINA HERRERA,212 VIP RED ROSE,,$130,475
CAROLINA HERRERA,212 VIP ROSE,,$130,475
CAROLINA HERRERA,BAD BOY,,$130,475
CAROLINA HERRERA,BRNING ROSE,,$130,475
CAROLINA HERRERA,CH CH MAN,,$130,475
CAROLINA HERRERA,CH CH WOMAN,,$130,475
CAROLINA HERRERA,GOOD GIRL  TOP,S400303,$260,950
CAROLINA HERRERA,MYSTERY TOBACCO,,$145,530
CAROLINA HERRERA,OUD COUTURE,,$130,475
CAROLINA HERRERA,GOOD GIRL JASMINE ABSOLUTE,S400502,$174,640
CAROLINA HERRERA,BAD BOY COBALT PARFUM ELECTRIQUE,PB0824,$286,1050
CAROLINA HERRERA,VERY GOOD GIRL TOP,,$251,920
CAROLINA HERRERA,SAFFRON LAZULI,,$161,590
CAROLINA HERRERA,212 VIP BLACK ELIXIR,S400524,$183,670
CAROLINA HERRERA,212 HEROES,,$221,810
CAROLINA HERRERA,212 MEN HEROES FOREVER YOUNG,,$130,475
CAROLINA HERRERA,GOOD GIRL BLUSH,S40030,$123,450
CAROLINA HERRERA,212 VIP ROSE LOVE NY,,$260,950
CAROLINA HERRERA,GOOD GIRL BLUSH ELIXIR,S40060,$148,540
CAROLINA HERRERA,212 VIP BLACK NY RODEO,PB4565,$286,1050
CAROLINA HERRERA,LA BOMBA,,$178,650
CAROLINA HERRERA,BAD BOY ELIXIR,,$273,1000
CAROLINA HERRERA,212 MEN,,$137,500
CAROLINA HERRERA,GOOD GIRL MIDNIGHT,,$130,475
CAROLINA HERRERA,CH BRIDS OF PARADISE FOR HIM,,$205,750
CAROLINA HERRERA,GOOD GIRL,,$130,475
CARON,POUR UN HOMME,,$130,475
CARON,TABAC EXCUIS,PB578.,$286,1050
CARON,MUSC OLI,,$161,590
CARON,TABAC EXQUIS,,$161,590
CELINE,BLACK TIE TOP,IP-546,$301,1100
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
COSMIC KYLE,COSMIC KYLE JENNER INTENSE,S400511,$180,660
COSMIC KYLE,KYLIE JENNER,PB58,$301,1100
CARTIER,CARTIER PASHA,,$130,475
CARTIER,PASHA DE CARTIER,PB487,$205,750
CARTIER,CARTIER ROADSTER MAN,,$130,475
CARTIER,DECLARATION,,$130,475
CARTIER,LA PANTHERE LUZI TOP,,$251,920
CARTIER,LA PANTHERE  (MEDIUM),,$130,475
CARTIER,MUST DE CARTIER GOLD,,$221,810
CARTIER,DECLARATION TOP,,$191,700
CARTIER,OUD VANILLE,,$227,830
CEDARWOOD SUPER,CEDARWOOD SUPER,,$130,475
CHANEL,BLEU DE CHANEL TOP,S400417,$328,1200
CHANEL,BLEU DE CHANEL SUPER,S400268,$164,600
CHANEL,BLEU DE CHANEL PARFUME TOP,S400323,$273,1000
CHANEL,BOY CHANEL,,$130,475
CHANEL,CHANEL NO 5,S400342,$205,750
CHANEL,CHANCE EAU TENDER,,$130,475
CHANEL,CHANCE EAU SPLENDIDE TOP,PB57874,$327,1200
CHANEL,CHANEL 1957,,$205,750
CHANEL,ALLURE HOME SPORT TOP,S400380,$205,750
CHANEL,CHANEL ALLURE POUR FEMME,,$130,475
CHANEL,CHANEL CHANCE TOP,S400353,$273,1000
CHANEL,CHANEL COCO TOP,S400147,$219,800
CHANEL,COCO MADEMOISELLE TOP,S400357,$205,750
CHANEL,COCO MADEMOISELL FRAGRANCE PREMIER 2025,S400165,$147,540
CHANEL,CHANEL NO 19,,$596,2180
CHANEL,COROMANDEL,,$130,475
CHANEL,GABRIELLE,,$130,475
CHANEL,GABRIELLE EDP 2017,PB870,$245,900
CHANEL,SYCOMORE PERFUME,PB497,$314,1150
CHANEL,ALLURE HOME SPORT SUPERLEGGERA,PB517,$286,1050
CHANEL,COCO NOIR,PB970,$218,800
CHANEL,ALLURE HOMME EDITION BLANCHE,pb475,$245,900
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
CHANEL,CHANEL CHANCE VIVIE,PB248,$218,800
CHANEL,GABRIELLE ESSENCE TOP,PB587,$218,800
CHANEL,GABRIELLE ESSENCE,,$130,475
CHANEL,LES EXCLUSIVE COROMANDEL,,$355,1300
CHANEL,PARIS-DEAUVILLE,,$251,920
CHANEL,CHANCE EAU FRAICHE TOP,S400346,$251,920
CHANEL,COCO MADEMOISELLE L'EAU PRIVEE,,$130,475
CHANEL,SYCOMORE,,$328,1200
CHANEL,N°1 DE CHANEL L'EAU ROUGE,,$219,800
CHANEL,GABRIELLE PARFUM,,$232,850
CHANEL,PARIS-PARIS,,$232,850
CHANEL,COMETE,,$369,1350
CHANEL,COCO MADEMOISELLE INTENSE W,,$130,475
CHANEL,ALLURE HOMME SPORT SUPERLEGGERA TOP,,$396,1450
CHANEL,CHANCE EAU SPLENDIDE,,$145,530
CHANEL,BLEU DE CHANEL L'EXCLUSIF TOP,S400339,$246,900
CHANEL,CHANEL CHANCE,,$270,990
CHANEL,CHANCE EAU TENDRE TOP,S400304,$246,900
CHANEL,EGOISTE PLATINUM NO,,$273,1000
CHARLOTTE TILBURY,COSMIC POWER,,$183,670
CHLOE,EAU DE PARFUM,PB875,$245,900
CHLOE,EAU DE PARFUM INTENSE 2024,PB.8,$382,1400
CHLOE,NOMADE,PB.98,$301,1100
CHLOE,"CHLOE , BELLE FOR WOMAN",,$130,475
CHOPARD,VETIVER D HAITI AU THE VERT,PB807,$464,1700
CHOPARD,MALAKI LEATHER,PB-80,$355,1300
CHOPARD,OUD MALAKI,S400255,$145,530
CHOPARD,1000 MAI CHOPART,,$130,475
CHOPARD,CEDAR MALAKI,,$227,830
CLINIQUE HAPPY,AROMATICS IN BLACK,,$130,475
CLINIQUE HAPPY,HAPPY FOR MEN TOP,,$199,730
CLINIQUE HAPPY,HAPPY FOR MEN  (MEDIUM),,$130,475
CLINIQUE HAPPY,HAPPY FOR WOMEN,,$145,530
CLIVE CHRISTIAN,BLONDE AMBER TOP,S400426,$287,1050
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
CLIVE CHRISTIAN,TIMMELESS,,$546,2000
CLIVE CHRISTIAN,INOX TOP,IS-107,$519,1900
CLIVE CHRISTIAN,MATSUKITA TOP,S400130,$232,850
CLIVE CHRISTIAN,ICONIC FEMININE,PB4848,$382,1400
CLIVE CHRISTIAN,RED TEA VETIVER,PB57412,$355,1300
CLIVE CHRISTIAN,20 ICONIC MASCULINE,PB574,$355,1300
CLIVE CHRISTIAN,CRAB APPLE BLOSSOM,PB5247,$355,1300
CLIVE CHRISTIAN,JUMP UP AND KISS ME HEDONISTIC,IP-487,$355,1300
COMME DES GARCONS,WONDER WOOD TOP,PB52745,$204,750
CLIVE CHRISTIAN,STRANGE HEAVENS OUT OF THE BLUE,S400407,$185,680
CLIVE CHRISTIAN,NO.1 FEM CLIVE CHRISTIN,,$383,1400
CLIVE CHRISTIAN,GOURMAND ORIENTAL WITH SWEET CLOVE MEN,,$342,1250
CLIVE CHRISTIAN,NO 1 FOR MEN,S40021,$164,600
CLIVE CHRISTIAN,1872 FOR MEN,S40037,$175,640
CLIVE CHRISTIAN,X FOR MEN,S40071,$273,1000
CLIVE CHRISTIAN,TOWN  & COUNTRY,PB475,$355,1300
CLIVE CHRISTIAN,MATSUKITA,,$287,1050
COACH,COACH MAN,,$130,475
COACH,COACH PLATINUM,,$130,475
COFFEE,COFFEE,,$115,420
COLOGNE,RAMAGE,,$109,400
COLOGNE,FLEURS D' AMOURE,,$109,400
COMPOUND AA,COMPOUND AA,,$311,1140
COSTUME NATIONAL,SCENT INTENSE,,$183,670
CREATION,ABEER,,$145,530
CREATION,GOLDEN DUST TOP,S400371,$123,450
CREATION,COSMEA,,$130,475
CREATION,GOLDEN DUST,S400138,$68,250
CREATION,SILVER DUST,S400146,$90,330
CREATION,EGYPTIAN MUSK,S400144,$68,250
CREATION,ZAMZAM,,$137,500
CREATION,TIB EL YAMEN,,$130,475
CREATION,WHITE OUD,,$130,475
CREATION,ROSE AND MUSK,,$139,510
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
CREATION,WHITE MUSK,,$116,425
CREATION,SOFT ROSE & OUD,,$161,590
CREATION,GOLDEN PEAK,,$221,810
CREATION,SHAIKH HAMDAN TOP,,$536,1960
CREATION,SHAIKH HAMDAN  (MEDIUM),,$325,1190
CREATION,DOMINATOR,,$145,530
CREATION,ESCAFAWA LUZI,,$130,475
CREATION,MAGIC FRUIT,,$130,475
CREATION,ABEER BAKHOOR,,$130,475
CREATION,RASPBERRY IN BLUE,,$130,475
CREATION,THREE G,,$130,475
CREATION,SWEET BAKHOOR,,$163,600
CREATION,SULTAN,,$161,590
CREATION,TOOTSY,,$130,475
CREATION,WARD AL TAIF,,$235,860
CREATION,ORIENTAL BAKHOOR,,$145,530
CREATION,NEW ORIENTAL FITNESS,,$130,475
CREATION,SUISSE ESSENCE,,$355,1300
CREATION,MUSSABIT,,$191,700
CREATION,BLUE OUD,,$199,730
CREATION,DESERT BLOOM,,$536,1960
CREATION,EMBERGRAIN,,$486,1780
CREATION,FUNDAMENT,,$541,1980
CREATION,STRATA OF STONE,,$525,1920
CREATION,FRAISE,S400216,$68,250
CREATION,SWEET SALINE,,$470,1720
CREATION,VERDANT,,$530,1940
CREATION,FALAK,,$183,670
CREATION,MY FIRST ROSE,,$130,475
CREATION,SMOKE ROSE,,$150,550
CREATION,ROSE WINE,,$130,475
CREATION,ACQUA FUTURA,,$519,1900
CREATION,ELUSIVE FOREST,,$478,1750
CREATION,INFINITE LIGHT,,$410,1500
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
CREATION,SOLAR STONE,,$383,1400
CREATION,WOOD REFLECTION,,$451,1650
CREATION,CHOCOLATE WOOD,,$109,400
CREATION,DARK CHOCOLATE EARTH,,$109,400
CREATION,MANGO CHOCOLATE FIRE,,$109,400
CREATION,MAGNETIC SEDUCTION,,$287,1050
CREATION,OUD PASSION,,$130,475
CREED,ORIGINAL SANTAL TOP,S40051,$327,1200
CREED,ROYAL MAYFAIR 2024,PB848,$382,1400
CREED,ROYAL MAYFAIR 2015,IF-475,$409,1500
CREED,FLEURISSIMO,PB574,$409,1500
CREED,FRAGARIA,PB486,$327,1200
CREED,ROYAL WATER,PB487,$286,1050
CREED,SUBLIME VANILLA TOP,IP8042,$327,1200
CREED,SPRING FLOWERS,PB847,$218,800
CREED,SPICE & WOOD,PB278,$327,1200
CREED,AVENTUS COLONGE TOP,IP-487,$382,1400
CREED,LOVE IN WHITE,PB854,$204,750
CREED,ORGINAL VETIVER 2024 TOP,S400529,$286,1050
CREED,ORGINAL VETIVER,PB4784,$301,1100
CREED,VIRGIN ISLAND WATER,PB54778,$327,1200
CREED,ROYAL OUD TOP,S400541,$437,1600
CREED,MILLESIME IMPERIAL TOP,S40050,$355,1300
CREED,TABAROME MILLESIME,PB507,$286,1050
CREED,CREED AVENTUS TOP,S400365,$437,1600
CREED,CREED AVENTUS SUPER,S40017,$150,550
CREED,CREED BLACK,,$130,475
CREED,WILD VETIVER TOP,S400499,$327,1200
CREED,GREEN IRISH TWEED TOP,S400356,$150,550
CREED,SILVER MOUNTAIN WATER TOP,S40082,$199,730
CREED,SILVER MOUNTAIN WATER SP,S400321,$123,450
CREED,PURE  WHITE COLOGNE,,$161,590
CREED,ROYAL OUD CREED,,$130,475
CREED,VIKING,,$130,475
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
CREED,WHITE AMBER,,$130,475
CREED,AVENTUS FOR HER TOP,S400375,$295,1080
CREED,VIKING COLOGNE MEN,,$221,810
CREED,CREED AVENTUS 10TH ANNIVERSARY,,$325,1190
CREED,WIND FLOWERS,,$219,800
CREED,CARMINA,,$150,550
CREED,ABSOLU AVENTUS SP,S400393,$81,300
CREED,QUEEN OF SILK,,$295,1080
CREED,SPRING FLOWER 2023,,$410,1500
CREED,ELADARIA,,$342,1250
CREED,SUBIIME VANILLE,,$287,1050
CREED,OUD ZARIAN TOP,S400308,$396,1450
CREED,ABSOLU AVENTUS TOP,S400312,$314,1150
CREED,CENTAURUS,,$213,780
CREED,DELPHINUS,,$273,1000
DUSITA,TONKA LATTE,S400180,$164,600
DONNA KARAN,DKNY BE DELICIOUS LATTE VANILLA,S400513,$177,650
DONNA KARAN,DNKY BE DELICIOUS LATTE MATCHA,S400243,$151,555
DONNA KARAN,DNKY BE DELICIOUS LATTE PISTACHIO,S400259,$185,680
D & G,VELVET PASSION OUD,,$314,1150
D & G,FEFE,S400166,$137,500
D & G,DGVIB3 EAU DE PARFUM,S400383,$164,600
D & G,3 L' IMPERATRICE,,$145,530
D & G,THE ONE WOMAN,,$130,475
D & G,THE ONE FOR MEN TOP,S40045,$177,650
D & G,YOUR DEVOUTION EDP INTENSE TOP,S400510,$232,850
D & G,DOLCE GARDEN,,$161,590
D & G,DEVOTION INTENSE TOP,S400465,$232,850
D & G,LEMON,S400203,$191,700
D & G,GREY,,$130,475
D & G,INTENSE WOMAN,,$130,475
D & G,INTENSO D & G,,$130,475
D & G,BY K,S400263,$194,710
D & G,VELVET HONEY SANTAL,S400423,$191,700
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
D & G,LIGHT BLUE W TOP,,$191,700
D & G,LIGHT BLUE LOVE IS LOVE,,$130,475
D & G,LIGHT BLUE POUR HOMME,,$205,750
D & G,THE ONE MYSTERIOUS,,$221,810
D & G,THE ONLY ONE TOP,S400150,$172,630
D & G,VELVET DESERT OUD TOP,S400338,$191,700
D & G,VELVET INCENSO  (MEDIUM),,$145,530
D & G,VELVET ORIENTAL MUSK TOP,,$235,860
D & G,THE ONE POUR HOMME PARFUM,S400253,$176,645
D & G,ROSE THE ONE,,$130,475
D & G,THE ONE LUMINOUS NIGHT,,$130,475
D & G,LIGHT BLUE FOREVER,,$221,810
D & G,VELVET BLACK PATCHOULI TOP,,$205,750
D & G,THE ONLY GREY,,$175,640
D & G,THE ONLY ONE 2,,$161,590
D & G,L' IMPERATRICE 2020 LIMITED EDITION,,$221,810
D & G,DOLCE,,$137,500
D & G,Q BY DOICE & GABBANA,,$232,850
D & G,LIGHT BLUE SUMMER VIBES,,$130,475
D & G,DEVOTION,,$164,600
D & G,K BY DOLCE & GABBANA EDP INTENSE,,$156,570
D & G,VELVET ZAFFERANO TOP,,$273,1000
D & G,DEVOTION EDP INTENSE,,$153,560
D & G,DOLCE BLUE JASMINE,,$137,500
D & G,DEVOTION FOR MEN,,$216,790
D&G,PINEAPPLE,S400168,$235,860
DALAH AL BANAT,DALAH AL BANAT,,$130,475
DANAT AL DUNIYA,DUNIYA TOP,,$150,550
DANAT AL DUNIYA,DANAT AL DUNIYA  (MEDIUM),,$130,475
DAVID BECKHAM,DAVID BECKHAM FOLLOW YOUR INSTINCT 2019,,$145,530
DAVIDOFF,COOL WATER MEN,S400381,$123,450
DAVIDOFF,COOL WATER WAVE MEN,,$130,475
DAVIDOFF,COOL WATER WOMAN,S400373,$82,300
DAVIDOFF,COOL WATER WOMAN BLUE,,$130,475
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
DAVIDOFF,DAVIDOFF HOT WATER,,$130,475
DAVIDOFF,HORIZON,,$130,475
DAVIDOFF,RUN WILD FOR HIM,,$130,475
DAVIDOFF,INDIGO,,$191,700
DAVIDOFF,WOOD BLEND,,$130,475
DAVIDOFF,COOL ELIXIR,,$243,890
DE LA SULTANE DE SABA,AMBER VANILLA PATCHOULI,,$157,575
DIESEL,BAD INTENSE,,$130,475
DIESEL,DIESEL ONLY TATTOO,,$130,475
DIESEL,ONLY THE BRAVE,,$130,475
DIESEL,ONLY THE BRAVE STREET,,$130,475
DIFFUSER OIL,ADRESS,S40021,$71,260
DIFFUSER OIL,LIMON LIMA,S40025,$50,185
DIFFUSER OIL,FEROE,S40026,$86,315
DIFFUSER OIL,WILD PETAL,S40018,$50,185
DIFFUSER OIL,ORANGE TATERA,S40020,$66,240
DIFFUSER OIL,HARMONY,S40022,$71,260
DIFFUSER OIL,VANILLA,S40023,$54,200
DIFFUSER OIL,SENDOA BLUE,S40024,$109,400
DIFFUSER OIL,SENSE ALL,,$123,450
DIFFUSER OIL,OUD SOLEL,F-47855,$68,250
DIFFUSER OIL,TURKISH COFFEE,,$130,475
DIFFUSER OIL,WONDER HOTEL,,$123,450
DIFFUSER OIL,MAINSAIL,,$123,450
DIFFUSER OIL,GINGR EARTH,,$123,450
DIFFUSER OIL,OUDY HOME,,$123,450
DIFFUSER OIL,FRANGIPANI,,$123,450
DIFFUSER OIL,GINGER BLOSSOM,,$123,450
DIOR,FEVE DELICIEUS TOP,IP-840,$382,1400
DIOR,CUIR SADDLE,,$382,1400
DIOR,ADDICT PURPLE GLOW DIOR,IP-02,$355,1300
DIOR,NEW LOOK,,$295,1080
DIOR,AMBRE NUIT,S400260,$159,581
DIOR,DIOR ADDICT TOP,S400163,$219,800
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
DIOR,EAU SAUVAGE,PB26,$382,1400
DIOR,BOIS TALISMAN,S400135,$218,800
DIOR,LUCKY,PB025,$327,1200
DIOR,FAHRENHEIT,S40068,$153,560
DIOR,FAHRENHEIT ABSOLUTE,IP-09,$232,850
DIOR,GRIS MONTAIGNE,,$139,510
DIOR,HOLY PEONY,,$169,620
DIOR,HYPNOTIC POISON,,$137,500
DIOR,J ADORE TOP,S400328,$191,700
DIOR,J ADORE IOR,IP 090,$286,1050
DIOR,J ADORE INTENSE,S400424,$172,630
DIOR,JOY,,$130,475
DIOR,MISS DIOR TOP,S400378,$245,900
DIOR,MISS DIOR CHERIE,,$130,475
DIOR,MISS DIOR EDP 2017,,$130,475
DIOR,MISS DIOR N ROSES,,$130,475
DIOR,OUD ISPHAHAN TOP,S400261,$191,700
DIOR,POISON,,$137,500
DIOR,POISON GIRL,,$137,500
DIOR,POISON GIRL UNEXPECTED,,$130,475
DIOR,PURE POISON,,$137,500
DIOR,PURPLE OUD  TOP,S400161,$221,810
DIOR,SAUVAGE TOP,S400358,$328,1200
DIOR,SAUVAGE SUPER,S400175,$191,700
DIOR,SAUVAGE VERY COOL SPRAY,,$175,640
DIOR,OUD ROSEWOOD TOP,,$295,1080
DIOR,ROUGE TRAFALGAR TOP,S40105,$164,600
DIOR,ROUGE TRAFALGAR ESPIRIT DE PARFUM TOP,S400427,$383,1400
DIOR,TOBACOLOR TOP,,$251,920
DIOR,EDEN ROC,,$145,530
DIOR,SANTAL NOIR,,$145,530
DIOR,SAUVAGE ELIXIR,S40046,$150,550
DIOR,VANILLA DIORAMA,,$221,810
DIOR,LEATHER OUD,,$130,475
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
DIOR,MISS DIOR BLOOMING BOUQUET TOP,S40069,$164,600
DIOR,BOIS D' ARGENT,,$130,475
DIOR,ADDICT EDP,,$130,475
DIOR,DIOR HOMME SPORT 2021 TOP,S40076,$205,750
DIOR,PATCHOULI ELIXIR PRECIEUX,,$232,850
DIOR,MISS DIOR ROSE ESSENCE,,$268,980
DIOR,MISS DIOR PARFUM TOP,T-548W0,$246,900
DIOR,MISS DIOR EDP,,$219,800
DIOR,SAKURA TOP,S400145,$273,1000
DIOR,DIOR HOMME PARFUM 2025 TOP,S400468,$328,1200
DIOR,ROSE STAR,,$519,1900
DIOR,MISS DIOR ESSENCE,,$273,1000
DIOR,DIOR HOMME INTENSE,S40022,$169,620
DIOR,FOREVER AND EVER,S40023,$164,600
DIOR,SAUVAGE EAU FORTE,,$191,700
DIOR,SPICE BLEND,,$183,670
DIPTIQUE,VOLUTES EAU DE PARFUM,,$281,1030
DIPTIQUE,LAZULI,S400198,$273,1000
DIPTIQUE,FLUER DE PEAU EDP,,$287,1050
DIPTIQUE,ORPHEON 2026,S400230,$180,660
DIPTIQUE,ORPHEON EAU DE PARFUM,,$314,1150
DIPTUQUE,EAU DE MINTHE,,$164,600
DIPTYQUE,TAM DAO,S40032,$150,550
DIPTYQUE,PHILOASYKOS EUA DE TOILETTE,,$164,600
DIPTYQUE,L'EAU PAPIER,S400184,$191,700
DIPTYQUE,DO SON,PB4805,$286,1050
DIPTYQUE,L' EAU DE TOILETTE,,$145,530
DKHOUN,EMERAUDE OUD,,$197,720
DRIES VAN NOTEN,RAVING ROSE,,$131,480
DRIES VAN NOTEN,SANTAL GREENERY,IP-048,$327,1200
DRIES VAN NOTEN,SOIE MALAQUAIS,IP-049,$301,1100
DS&DURGA,STEAMED RAINBOW,PB24,$355,1300
DSQUARED,WOOD FOR HIM,,$221,810
DUA AL ZANNAH,DUA AL ZANNAH GR,,$130,475
ALL PRICE 1 KGS,,,,
BRAND,NAME,CODE,USD $,AED
