BRAND,NAME,ORI,CN CODE,QTY,AED,USD
FATIMA,ROSE NOIR,AHMED AL MAGHRIBI / ROSE NOIR,S40006,1,600.00,164.00
FATIMA,OUD & ROSES,AHMED AL MAGHRIBI / OUD & ROSES,,1,520.00,142.00
FATIMA,MARJ TOP,AHMED AL MAGHRIBI / MARJ TOP,S40003,1,850.00,232.00
FATIMA,OUD LAVENDER,AHMED AL MAGHRIBI / OUD LAVENDER,PB038,1,900.00,246.00
FATIMA,BIDUN ESAM,AHMED AL MAGHRIBI / BIDUN ESAM,PB580,1,900.00,246.00
FATIMA,TIFF TIFF,AHMED AL MAGHRIBI / TIFF TIFF,,1,540.00,148.00
FATIMA,PRESTIGE RUBY,AL MAJED FOR OUD / PRESTIGE RUBY,,1,1250.00,342.00
FATIMA,AL MAMLAKA AL KHAS,AL MAJED FOR OUD / AL MAMLAKA AL KHAS,,1,840.00,230.00
FATIMA,ELBRINCE,AL MAJED OUD / ELBRINCE,PB056,1,1200.00,327.00
FATIMA,CHARISMA,ATYAB AL SHEIKH / CHARISMA,PB068,1,750.00,204.00
FATIMA,4 WHITE,ATYAB AL MARSHOUD / 4 WHITE,PB085,1,1500.00,409.00
FATIMA,CHOCO MUSK,AL REHAB / CHOCO MUSK,,1,420.00,115.00
FATIMA,ASEEL,AL REHAB / ASEEL,,1,475.00,130.00
FATIMA,LORD BY AL REHAB,AL REHAB / LORD BY AL REHAB,,1,475.00,130.00
FATIMA,SABAYA,AL REHAB / SABAYA,,1,475.00,130.00
FATIMA,SOFT,AL REHAB / SOFT,,1,475.00,130.00
FATIMA,SULTAN AL REHAB,AL REHAB / SULTAN AL REHAB,,1,475.00,130.00
FATIMA,MANDARINE SULTANE ( TOP ),ALEXANDRE . J / MANDARINE SULTANE ( TOP ),,1,700.00,191.00
FATIMA,MORNING MUSCS,ALEXANDRE . J / MORNING MUSCS,,1,530.00,145.00
FATIMA,THE COLLECTOR BLACK MUSCS,ALEXANDRE . J / THE COLLECTOR BLACK MUSCS,,1,475.00,130.00
FATIMA,THE COLLECTOR ZAFEER OUD VANILLE,ALEXANDRE . J / THE COLLECTOR ZAFEER OUD VANILLE,,1,475.00,130.00
FATIMA,ROSE OUD,ALEXANDRE. J / ROSE OUD,,1,475.00,130.00
FATIMA,"AMOUAGE, EPIC MAN","AMOUAGE / AMOUAGE, EPIC MAN",,1,530.00,145.00
FATIMA,REMAIN TOP,AMOUAGE / REMAIN TOP,IP-804,1,1400.00,382.00
FATIMA,"AMOUAGE, LYRIC MAN","AMOUAGE / AMOUAGE, LYRIC MAN",,1,530.00,145.00
FATIMA,LOVE HIBISCUS TOP,AMOUAGE / LOVE HIBISCUS TOP,S400490,1,950.00,260.00
FATIMA,"AMOUAGE, OPUS V","AMOUAGE / AMOUAGE, OPUS V",,1,530.00,145.00
FATIMA,"AMOUAGE,JOURNEY WOMAN","AMOUAGE / AMOUAGE,JOURNEY WOMAN",,1,530.00,145.00
FATIMA,BLOSSOM LOVE WOMAN,AMOUAGE / BLOSSOM LOVE WOMAN,,1,700.00,191.00
FATIMA,BRACKEN EAU DE PERFUME MAN,AMOUAGE / BRACKEN EAU DE PERFUME MAN,,1,530.00,145.00
FATIMA,HONOUR MAN,AMOUAGE / HONOUR MAN,,1,640.00,175.00
FATIMA,HONOUR WOMAN,AMOUAGE / HONOUR WOMAN,,1,750.00,205.00
FATIMA,IMITATION FOR WOMAN,AMOUAGE / IMITATION FOR WOMAN,,1,530.00,145.00
FATIMA,INTERLUDE WOMAN,AMOUAGE / INTERLUDE WOMAN,,1,860.00,235.00
FATIMA,INTERUDE MAN,AMOUAGE / INTERUDE MAN,S400254,1,700.00,191.00
FATIMA,JUBILATION EDP MAN,AMOUAGE / JUBILATION EDP MAN,,1,530.00,145.00
FATIMA,MEMOIR MEN,AMOUAGE / MEMOIR MEN,,1,530.00,145.00
FATIMA,OPUS III,AMOUAGE / OPUS III,,1,530.00,145.00
FATIMA,OPUS VI,AMOUAGE / OPUS VI,,1,750.00,205.00
FATIMA,OPUS VII,AMOUAGE / OPUS VII,,1,530.00,145.00
FATIMA,OVERTURE MAN,AMOUAGE / OVERTURE MAN,,1,670.00,183.00
FATIMA,PORTRAYAL MAN,AMOUAGE / PORTRAYAL MAN,,1,730.00,199.00
FATIMA,PORTRAYAL WOMAN,AMOUAGE / PORTRAYAL WOMAN,,1,590.00,161.00
FATIMA,REFLECTION MEN TOP,AMOUAGE / REFLECTION MEN TOP,S400479,1,850.00,232.00
FATIMA,AMOUAGE REFLECTION 45 TOP,AMOUAGE / AMOUAGE REFLECTION 45 TOP,S400517,1,1350.00,369.00
FATIMA,ROSE INCENSE,AMOUAGE / ROSE INCENSE,,1,720.00,197.00
